ROW_ID,PRODUCT_TYPE,PRODUCT_NAME,METAL,CONCENTRATION,UNITS,MANUFACTURER,MADE_IN_COUNTRY,COLLECTION_DATE,HIGH_CONCENTRATION,CONCENTRATION_IS_NEGATIVE_ONE,CONCENTRATION_PPM
2833,Dietary Supplement/Medications/Remedy,Kaishora Guggulu,Lead,1.1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,False,1.1
2834,Dietary Supplement/Medications/Remedy,Kaishora Guggulu,Mercury,2.2,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,False,2.2
2835,Dietary Supplement/Medications/Remedy,Zulcer Capsules,Arsenic,2.4,ppm,Gufic Biosciences Limited,INDIA,2018-02-13,False,False,2.4
2836,Dietary Supplement/Medications/Remedy,Zulcer Capsules,Lead,50.0,ppm,Gufic Biosciences Limited,INDIA,2018-02-13,True,False,50.0
2837,Dietary Supplement/Medications/Remedy,Zulcer Capsules,Mercury,0.63,ppm,Gufic Biosciences Limited,INDIA,2018-02-13,False,False,0.63
2838,Dietary Supplement/Medications/Remedy,Shodona Vati (New Delhi),Arsenic,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2839,Dietary Supplement/Medications/Remedy,Shodona Vati (New Delhi),Lead,0.62,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,False,0.62
2840,Dietary Supplement/Medications/Remedy,Shodona Vati (New Delhi),Mercury,0.55,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,False,0.55
2841,Dietary Supplement/Medications/Remedy,Shodona Vati (Hyderabad),Arsenic,1.5,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,False,1.5
2842,Dietary Supplement/Medications/Remedy,Shodona Vati (Hyderabad),Lead,1.1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,False,1.1
2843,Dietary Supplement/Medications/Remedy,Shodona Vati (Hyderabad),Mercury,0.11,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,False,0.11
2844,Food Other,Special Tea,Arsenic,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2845,Food Other,Special Tea,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2846,Food Other,Special Tea,Mercury,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2847,Dietary Supplement/Medications/Remedy,Asthi,Arsenic,1.4,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,False,1.4
2848,Dietary Supplement/Medications/Remedy,Asthi,Lead,2.4,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,False,2.4
2849,Dietary Supplement/Medications/Remedy,Asthi,Mercury,0.44,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,False,0.44
2850,Dietary Supplement/Medications/Remedy,Gudnar Kalp & Nagadi,Arsenic,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2851,Dietary Supplement/Medications/Remedy,Gudnar Kalp & Nagadi,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2852,Dietary Supplement/Medications/Remedy,Gudnar Kalp & Nagadi,Mercury,0.056,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,False,0.056
2853,Dietary Supplement/Medications/Remedy,Smriti,Arsenic,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2854,Dietary Supplement/Medications/Remedy,Smriti,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2855,Dietary Supplement/Medications/Remedy,Smriti,Mercury,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2856,Dietary Supplement/Medications/Remedy,Bio-Kult Probiotic,Arsenic,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2857,Dietary Supplement/Medications/Remedy,Bio-Kult Probiotic,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2858,Dietary Supplement/Medications/Remedy,Bio-Kult Probiotic,Mercury,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2859,Dietary Supplement/Medications/Remedy,Manjistha,Arsenic,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2860,Dietary Supplement/Medications/Remedy,Manjistha,Lead,1.9,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,False,1.9
2861,Dietary Supplement/Medications/Remedy,Manjistha,Mercury,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2862,Dietary Supplement/Medications/Remedy,Natural Calm,Arsenic,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2863,Dietary Supplement/Medications/Remedy,Natural Calm,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2864,Dietary Supplement/Medications/Remedy,Natural Calm,Mercury,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2865,Dietary Supplement/Medications/Remedy,Artecin,Arsenic,-1.0,ppm,Thorne Research Inc.,UNITED STATES,2018-02-13,False,True,-1.0
2866,Dietary Supplement/Medications/Remedy,Artecin,Lead,-1.0,ppm,Thorne Research Inc.,UNITED STATES,2018-02-13,False,True,-1.0
2867,Dietary Supplement/Medications/Remedy,Artecin,Mercury,-1.0,ppm,Thorne Research Inc.,UNITED STATES,2018-02-13,False,True,-1.0
2868,Dietary Supplement/Medications/Remedy,Ashwaganda,Arsenic,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2869,Dietary Supplement/Medications/Remedy,Ashwaganda,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2870,Dietary Supplement/Medications/Remedy,Ashwaganda,Mercury,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2871,Dietary Supplement/Medications/Remedy,Bacopa,Arsenic,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2872,Dietary Supplement/Medications/Remedy,Bacopa,Lead,1.6,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,False,1.6
2873,Dietary Supplement/Medications/Remedy,Bacopa,Mercury,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2874,Dietary Supplement/Medications/Remedy,Rhodiola,Arsenic,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2875,Dietary Supplement/Medications/Remedy,Rhodiola,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2876,Dietary Supplement/Medications/Remedy,Rhodiola,Mercury,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-02-13,False,True,-1.0
2877,Food Other,Barley Powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,ECUADOR,2018-02-21,False,True,-1.0
2878,Cosmetics,Surma,Lead,630000.0,ppm,UNKNOWN OR NOT STATED,SAUDI ARABIA,2018-02-27,True,False,630000.0
2879,Cosmetics,Blue Heaven Personal Kajal,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2018-02-28,False,True,-1.0
2880,Food Other,Nestle Cerelac,Lead,-1.0,ppm,Nestle,FRANCE,2018-03-01,False,True,-1.0
2881,Food-Spice,Red Chili Powder,Lead,0.26,ppm,UNKNOWN OR NOT STATED,INDIA,2018-03-05,False,False,0.26
2882,Food-Spice,Turmeric,Lead,1.6,ppm,UNKNOWN OR NOT STATED,INDIA,2018-03-05,False,False,1.6
2883,Food-Spice,Coriander,Lead,0.25,ppm,UNKNOWN OR NOT STATED,INDIA,2018-03-05,False,False,0.25
2884,Cosmetics,Face Powder,Lead,36.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-03-07,True,False,36.0
2885,Cosmetics,Face Powder,Mercury,0.055,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-03-07,False,False,0.055
2886,Food Other,Corn/Rice/Oats Mixture,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,GHANA,2018-03-09,False,True,-1.0
2887,Food-Candy,Dulce enchilado con sabor a tamarindo(tamarin-flavored candy),Lead,-1.0,ppm,Hearshy Mexico,MEXICO,2018-03-15,False,True,-1.0
2888,Food-Spice,Dill Seed,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2018-03-20,False,True,-1.0
2889,Food-Spice,Masala,Lead,0.75,ppm,UNKNOWN OR NOT STATED,INDIA,2018-03-20,False,False,0.75
2890,Food-Spice,Mustard Powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2018-03-20,False,True,-1.0
2891,Food-Spice,Chili Powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2018-03-20,False,True,-1.0
2892,Food-Spice,Cumin Seed,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2018-03-20,False,True,-1.0
